census_tract,total_pop,under_5,5_to_9,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Selected Age Categories,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Male population,Under 5 years,5 to 9 years,10 to 14 years_1,15 to 19 years_1,20 to 24 years_1,25 to 29 years_1,30 to 34 years_1,35 to 39 years_1,40 to 44 years_1,45 to 49 years_1,50 to 54 years_1,55 to 59 years_1,60 to 64 years_1,65 to 69 years_1,70 to 74 years_1,75 to 79 years_1,80 to 84 years_1,85 years and over_1,Selected Age Categories_1,16 years and over_1,18 years and over_1,21 years and over_1,62 years and over_1,65 years and over_1,Female population,Under 5 years_1,5 to 9 years_1,10 to 14 years_2,15 to 19 years_2,20 to 24 years_2,25 to 29 years_2,30 to 34 years_2,35 to 39 years_2,40 to 44 years_2,45 to 49 years_2,50 to 54 years_2,55 to 59 years_2,60 to 64 years_2,65 to 69 years_2,70 to 74 years_2,75 to 79 years_2,80 to 84 years_2,85 years and over_2,Selected Age Categories_2,16 years and over_2,18 years and over_2,21 years and over_2,62 years and over_2,65 years and over_2,MEDIAN AGE BY SEX,Both sexes,Male,Female,RACE,Total population,One Race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,TOTAL RACES TALLIED [1],Total races tallied,White alone or in combination with one or more other races,Black or African American alone or in combination with one or more other races,American Indian and Alaska Native alone or in combination with one or more other races,Asian alone or in combination with one or more other races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,Total population_1,Hispanic or Latino (of any race),Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,Total population_2,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races_1,Not Hispanic or Latino_1,White alone_1,Black or African American alone_1,American Indian and Alaska Native alone_1,Asian alone_1,Native Hawaiian and Other Pacific Islander alone_1,Some Other Race alone_1,Two or More Races_2,RELATIONSHIP,Total population_3,In households,Householder,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,Child [2],Under 18 years,Grandchild,Under 18 years_1,Other relatives,Nonrelatives,In group quarters,Institutionalized population:,Male_1,Female_1,Noninstitutionalized population:,Male_2,Female_2,HOUSEHOLDS BY TYPE,Total households,Married couple household,With own children under 18 [3],Cohabiting couple household,With own children under 18 [3]_1,"Male householder, no spouse or partner present:",Living alone,65 years and over_3,With own children under 18 [3]_2,"Female householder, no spouse or partner present:",Living alone_1,65 years and over_4,With own children under 18 [3]_3,Households with individuals under 18 years,Households with individuals 65 years and over,HOUSING OCCUPANCY,Total housing units,Occupied housing units,Vacant housing units,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",All other vacants,VACANCY RATES,Homeowner vacancy rate (percent) [4],Rental vacancy rate (percent) [5],HOUSING TENURE,Occupied housing units_1,Owner-occupied housing units,Renter-occupied housing units,near_hblr,white_pct,black_pct,asian_pct,amerindian_pct,other_pct,hispanic_pct,near_path
Census Tract 69; Hudson County; New Jersey!!Percent,100.00%,7.10%,7.10%,7.10%,11.10%,4.00%,4.00%,10.10%,4.00%,10.10%,4.00%,10.10%,5.10%,7.10%,1.00%,5.10%,1.00%,0.00%,2.00%,,72.70%,69.70%,67.70%,11.10%,9.10%,100.00%,11.80%,9.80%,9.80%,9.80%,5.90%,5.90%,3.90%,0.00%,11.80%,5.90%,9.80%,5.90%,5.90%,2.00%,2.00%,0.00%,0.00%,0.00%,,64.70%,60.80%,58.80%,3.90%,3.90%,100.00%,2.10%,4.20%,4.20%,12.50%,2.10%,2.10%,16.70%,8.30%,8.30%,2.10%,10.40%,4.20%,8.30%,0.00%,8.30%,2.10%,0.00%,4.20%,,81.30%,79.20%,77.10%,18.80%,14.60%,,(X),(X),(X),,100.00%,79.80%,41.40%,3.00%,0.00%,13.10%,1.00%,21.20%,20.20%,,125.30%,48.50%,15.20%,4.00%,15.20%,2.00%,40.40%,,100.00%,61.60%,38.40%,,100.00%,61.60%,21.20%,0.00%,0.00%,0.00%,1.00%,21.20%,18.20%,38.40%,20.20%,3.00%,0.00%,13.10%,0.00%,0.00%,2.00%,,100.00%,100.00%,31.30%,10.10%,0.00%,2.00%,0.00%,36.40%,27.30%,2.00%,2.00%,8.10%,10.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,40.60%,28.10%,3.10%,3.10%,21.90%,15.60%,0.00%,0.00%,34.40%,9.40%,3.10%,21.90%,62.50%,15.60%,,100.00%,80.00%,20.00%,5.00%,0.00%,0.00%,5.00%,0.00%,10.00%,,(X),(X),,100.00%,25.00%,75.00%,False,20.2,3.0,13.1,0.0,0.0,61.6,False
Census Tract 70.01; Hudson County; New Jersey!!Percent,100.00%,5.60%,4.00%,3.60%,4.30%,4.60%,12.50%,13.90%,9.30%,8.60%,5.20%,5.20%,4.90%,4.00%,3.40%,3.50%,3.40%,2.70%,1.40%,,85.80%,84.40%,82.00%,16.10%,14.20%,100.00%,5.60%,3.90%,3.50%,4.90%,5.30%,12.00%,16.30%,9.60%,7.90%,4.80%,6.10%,5.30%,4.30%,3.10%,2.50%,2.00%,2.00%,1.00%,,85.70%,84.00%,81.40%,12.20%,10.60%,100.00%,5.50%,4.10%,3.80%,3.80%,3.90%,12.90%,11.60%,9.10%,9.30%,5.70%,4.30%,4.50%,3.80%,3.60%,4.50%,4.70%,3.30%,1.70%,,86.00%,84.70%,82.70%,19.80%,17.80%,,(X),(X),(X),,100.00%,84.90%,40.10%,9.90%,0.60%,17.30%,0.00%,17.00%,15.10%,,116.80%,53.40%,13.30%,1.50%,19.90%,0.40%,28.20%,,100.00%,37.60%,62.40%,,100.00%,37.60%,7.40%,1.90%,0.50%,0.20%,0.00%,16.60%,11.00%,62.40%,32.70%,8.00%,0.00%,17.10%,0.00%,0.40%,4.20%,,100.00%,96.00%,45.40%,12.70%,0.60%,3.10%,0.50%,22.50%,13.90%,1.40%,1.20%,3.00%,6.70%,4.00%,0.00%,0.00%,0.00%,4.00%,2.50%,1.50%,,100.00%,28.70%,10.80%,8.00%,1.20%,25.10%,17.20%,4.00%,1.30%,38.20%,22.00%,8.70%,5.30%,21.10%,23.30%,,100.00%,93.10%,6.90%,4.30%,0.40%,0.40%,0.10%,1.00%,0.80%,,(X),(X),,100.00%,20.70%,79.30%,False,32.7,8.0,17.1,0.0,0.4,37.6,True
Census Tract 70.02; Hudson County; New Jersey!!Percent,100.00%,7.00%,2.70%,2.00%,0.90%,3.50%,16.70%,24.20%,14.90%,8.90%,5.00%,3.20%,2.90%,2.70%,1.60%,1.70%,1.40%,0.20%,0.60%,,88.20%,87.90%,86.90%,6.90%,5.50%,100.00%,8.00%,1.90%,1.80%,1.00%,3.30%,15.90%,24.60%,15.20%,9.60%,5.70%,3.30%,3.30%,1.80%,1.30%,1.30%,1.10%,0.20%,0.70%,,88.10%,87.60%,87.00%,5.30%,4.50%,100.00%,5.90%,3.50%,2.20%,0.70%,3.70%,17.60%,23.80%,14.70%,8.00%,4.20%,3.00%,2.60%,3.60%,1.90%,2.20%,1.80%,0.20%,0.40%,,88.30%,88.10%,86.90%,8.60%,6.50%,,(X),(X),(X),,100.00%,90.20%,46.30%,3.10%,0.10%,35.50%,0.20%,5.00%,9.80%,,110.40%,54.30%,5.20%,1.10%,38.20%,0.50%,11.10%,,100.00%,13.30%,86.70%,,100.00%,13.30%,2.90%,0.20%,0.10%,0.10%,0.00%,4.40%,5.60%,86.70%,43.40%,2.90%,0.00%,35.40%,0.20%,0.60%,4.20%,,100.00%,99.90%,49.50%,18.20%,0.70%,5.60%,0.80%,14.10%,11.50%,0.50%,0.20%,3.10%,7.40%,0.10%,0.00%,0.00%,0.00%,0.10%,0.00%,0.10%,,100.00%,37.80%,14.20%,12.80%,0.70%,27.00%,18.00%,1.50%,0.80%,22.40%,14.90%,1.60%,0.90%,17.30%,8.50%,,100.00%,89.00%,11.00%,4.70%,0.50%,0.90%,0.70%,2.70%,1.60%,,(X),(X),,100.00%,18.10%,81.90%,False,43.4,2.9,35.4,0.0,0.6,13.3,True
Census Tract 71; Hudson County; New Jersey!!Percent,100.00%,4.70%,3.90%,3.00%,3.00%,6.90%,14.20%,15.00%,10.00%,7.20%,6.80%,5.80%,4.70%,5.00%,3.10%,2.40%,1.60%,1.00%,1.70%,,87.60%,86.30%,84.90%,12.30%,9.90%,100.00%,4.30%,3.60%,2.60%,3.70%,6.40%,13.60%,15.70%,10.50%,7.70%,8.10%,6.80%,4.60%,4.90%,3.40%,2.10%,0.90%,0.60%,0.40%,,88.50%,87.10%,85.30%,9.70%,7.40%,100.00%,5.20%,4.30%,3.40%,2.00%,7.50%,14.90%,14.10%,9.50%,6.60%,5.20%,4.70%,4.80%,5.00%,2.80%,2.80%,2.50%,1.40%,3.30%,,86.50%,85.30%,84.50%,15.60%,12.90%,,(X),(X),(X),,100.00%,89.90%,36.40%,12.00%,0.20%,29.70%,0.00%,11.70%,10.10%,,111.70%,44.70%,15.00%,1.20%,31.70%,0.50%,18.60%,,100.00%,22.00%,78.00%,,100.00%,22.00%,4.40%,0.60%,0.20%,0.20%,0.00%,10.30%,6.40%,78.00%,32.00%,11.30%,0.00%,29.50%,0.00%,1.40%,3.70%,,100.00%,94.00%,44.40%,12.90%,0.60%,3.80%,0.70%,17.70%,12.20%,0.60%,0.50%,5.50%,7.90%,6.00%,6.00%,3.90%,2.10%,0.00%,0.00%,0.00%,,100.00%,31.10%,12.00%,10.10%,1.00%,33.00%,24.10%,3.20%,0.50%,25.90%,15.80%,2.30%,2.10%,17.20%,14.10%,,100.00%,89.40%,10.60%,5.70%,0.80%,1.00%,0.20%,0.00%,3.10%,,(X),(X),,100.00%,18.60%,81.40%,False,32.0,11.3,29.5,0.0,1.4,22.0,True
Census Tract 72; Hudson County; New Jersey!!Percent,100.00%,9.70%,4.40%,2.10%,1.90%,3.60%,14.50%,16.60%,14.20%,7.70%,5.60%,4.10%,3.10%,3.10%,2.40%,1.70%,1.50%,1.40%,2.40%,,83.50%,82.70%,81.40%,11.60%,9.50%,100.00%,8.70%,4.90%,2.40%,1.90%,4.00%,14.80%,15.40%,14.50%,8.40%,6.70%,4.40%,3.30%,3.30%,2.10%,1.70%,1.10%,0.80%,1.40%,,83.40%,82.50%,81.70%,9.70%,7.20%,100.00%,10.70%,3.80%,1.80%,1.80%,3.20%,14.10%,17.90%,13.80%,6.90%,4.50%,3.80%,2.90%,2.80%,2.80%,1.70%,1.90%,2.00%,3.50%,,83.50%,82.90%,81.10%,13.60%,11.90%,,(X),(X),(X),,100.00%,91.00%,48.80%,5.70%,0.20%,32.30%,0.00%,4.00%,9.00%,,109.40%,57.10%,7.10%,0.60%,35.70%,0.00%,8.90%,,100.00%,9.10%,90.90%,,100.00%,9.10%,1.50%,0.10%,0.10%,0.20%,0.00%,3.10%,4.10%,90.90%,47.20%,5.60%,0.10%,32.10%,0.00%,0.90%,4.90%,,100.00%,95.40%,42.40%,18.70%,0.80%,3.70%,0.50%,19.60%,16.40%,0.30%,0.30%,2.10%,7.30%,4.60%,3.60%,1.40%,2.20%,1.00%,0.30%,0.70%,,100.00%,45.80%,24.30%,9.80%,0.70%,23.90%,16.00%,1.90%,0.60%,20.50%,14.20%,3.20%,1.40%,27.50%,10.30%,,100.00%,92.50%,7.50%,3.90%,0.10%,0.10%,0.40%,0.50%,2.60%,,(X),(X),,100.00%,26.90%,73.10%,False,47.2,5.6,32.1,0.1,0.9,9.1,False
Census Tract 73; Hudson County; New Jersey!!Percent,100.00%,7.10%,3.40%,0.50%,0.40%,3.40%,23.30%,28.50%,17.00%,6.90%,3.20%,2.00%,1.50%,1.10%,0.80%,0.40%,0.20%,0.00%,0.10%,,88.80%,88.70%,88.40%,2.30%,1.60%,100.00%,7.10%,3.50%,0.40%,0.30%,2.90%,21.70%,27.50%,18.80%,7.70%,3.60%,2.20%,1.70%,1.00%,0.80%,0.60%,0.10%,0.00%,0.10%,,89.00%,88.90%,88.70%,2.40%,1.70%,100.00%,7.10%,3.30%,0.70%,0.60%,4.00%,24.90%,29.60%,15.20%,6.00%,2.80%,1.80%,1.30%,1.20%,0.90%,0.20%,0.40%,0.00%,0.00%,,88.70%,88.50%,88.10%,2.10%,1.50%,,(X),(X),(X),,100.00%,93.70%,50.10%,2.80%,0.00%,38.30%,0.00%,2.50%,6.30%,,106.60%,55.90%,3.80%,0.10%,40.00%,0.20%,6.60%,,100.00%,7.10%,92.90%,,100.00%,7.10%,1.70%,0.10%,0.00%,0.30%,0.00%,1.90%,3.10%,92.90%,48.40%,2.70%,0.00%,38.00%,0.00%,0.60%,3.20%,,100.00%,99.90%,52.80%,19.30%,0.50%,8.90%,0.70%,11.50%,10.90%,0.00%,0.00%,1.60%,4.40%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,,100.00%,37.50%,13.10%,18.20%,0.40%,23.20%,17.90%,0.50%,0.80%,21.10%,16.70%,0.80%,1.10%,15.60%,4.50%,,100.00%,92.90%,7.10%,3.80%,0.20%,0.20%,0.00%,0.50%,2.50%,,(X),(X),,100.00%,16.00%,84.00%,True,48.4,2.7,38.0,0.0,0.6,7.1,False
Census Tract 74; Hudson County; New Jersey!!Percent,100.00%,9.50%,4.70%,2.30%,1.10%,2.70%,12.40%,19.40%,16.60%,10.40%,5.50%,4.50%,3.70%,3.30%,2.20%,0.90%,0.60%,0.20%,0.10%,,83.30%,82.70%,82.20%,5.70%,4.00%,100.00%,9.60%,4.40%,2.00%,1.20%,2.30%,12.40%,18.20%,16.80%,10.90%,6.10%,4.80%,4.00%,3.50%,2.20%,0.80%,0.60%,0.20%,0.10%,,83.70%,83.00%,82.70%,5.30%,3.70%,100.00%,9.40%,5.10%,2.50%,1.00%,3.10%,12.30%,20.60%,16.30%,9.80%,4.80%,4.20%,3.50%,3.20%,2.20%,1.10%,0.60%,0.10%,0.20%,,82.80%,82.40%,81.70%,6.20%,4.30%,,(X),(X),(X),,100.00%,92.20%,50.70%,2.80%,0.20%,36.30%,0.10%,2.10%,7.80%,,108.40%,58.00%,4.10%,0.50%,38.70%,0.20%,6.90%,,100.00%,6.90%,93.10%,,100.00%,6.90%,1.70%,0.20%,0.10%,0.10%,0.00%,1.50%,3.30%,93.10%,49.10%,2.60%,0.10%,36.20%,0.00%,0.60%,4.50%,,100.00%,100.00%,48.20%,22.60%,0.70%,4.70%,0.50%,18.20%,16.80%,0.10%,0.00%,2.20%,2.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,48.00%,21.10%,10.80%,0.60%,23.10%,18.30%,0.60%,1.30%,18.10%,13.70%,1.00%,1.30%,25.10%,6.80%,,100.00%,84.60%,15.40%,8.60%,1.70%,4.00%,0.00%,0.40%,0.60%,,(X),(X),,100.00%,21.80%,78.20%,True,49.1,2.6,36.2,0.1,0.6,6.9,True
Census Tract 75; Hudson County; New Jersey!!Percent,100.00%,8.20%,4.20%,2.10%,1.00%,3.60%,14.10%,18.70%,14.60%,8.20%,4.80%,4.00%,3.30%,2.70%,2.70%,2.80%,2.00%,1.70%,1.20%,,85.20%,84.80%,84.30%,11.90%,10.40%,100.00%,8.30%,4.50%,2.40%,1.20%,3.10%,13.70%,18.20%,15.10%,9.80%,5.00%,4.30%,3.50%,2.60%,2.50%,2.20%,1.50%,1.30%,0.80%,,84.40%,83.90%,83.40%,9.90%,8.40%,100.00%,8.00%,3.80%,1.90%,0.90%,4.10%,14.50%,19.30%,14.20%,6.60%,4.50%,3.80%,3.10%,2.80%,2.90%,3.40%,2.40%,2.00%,1.60%,,86.00%,85.70%,85.10%,13.90%,12.40%,,(X),(X),(X),,100.00%,92.20%,45.30%,6.10%,0.20%,35.70%,0.00%,4.80%,7.80%,,108.50%,52.00%,7.80%,0.70%,37.90%,0.20%,9.80%,,100.00%,10.20%,89.80%,,100.00%,10.20%,2.00%,0.50%,0.00%,0.10%,0.00%,3.50%,4.10%,89.80%,43.30%,5.70%,0.10%,35.70%,0.00%,1.30%,3.70%,,100.00%,99.30%,51.10%,19.70%,0.70%,4.50%,0.30%,16.80%,14.40%,0.40%,0.30%,1.80%,4.00%,0.70%,0.00%,0.00%,0.00%,0.70%,0.00%,0.70%,,100.00%,39.60%,16.90%,9.50%,0.30%,23.20%,18.20%,2.80%,0.50%,27.70%,21.50%,6.90%,1.80%,20.10%,15.80%,,100.00%,92.10%,7.90%,6.20%,0.50%,0.20%,0.20%,0.20%,0.60%,,(X),(X),,100.00%,16.80%,83.20%,True,43.3,5.7,35.7,0.1,1.3,10.2,True
Census Tract 76.01; Hudson County; New Jersey!!Percent,100.00%,7.20%,2.60%,1.40%,0.70%,6.40%,24.00%,26.10%,14.40%,7.20%,3.80%,2.40%,1.70%,1.00%,0.40%,0.40%,0.20%,0.10%,0.10%,,88.70%,88.50%,87.80%,1.70%,1.10%,100.00%,7.20%,2.40%,1.60%,0.60%,5.50%,21.90%,25.90%,15.50%,8.40%,4.20%,2.70%,1.90%,1.10%,0.50%,0.20%,0.10%,0.10%,0.20%,,88.70%,88.60%,88.00%,1.60%,1.20%,100.00%,7.20%,2.80%,1.30%,0.80%,7.40%,26.30%,26.20%,13.10%,6.00%,3.30%,2.00%,1.60%,0.90%,0.40%,0.50%,0.20%,0.10%,0.00%,,88.60%,88.40%,87.50%,1.80%,1.10%,,(X),(X),(X),,100.00%,93.70%,38.10%,2.70%,0.10%,50.30%,0.00%,2.50%,6.30%,,106.70%,44.00%,3.70%,0.50%,52.00%,0.10%,6.30%,,100.00%,6.50%,93.50%,,100.00%,6.50%,1.30%,0.20%,0.10%,0.10%,0.00%,1.70%,3.00%,93.50%,36.80%,2.50%,0.00%,50.20%,0.00%,0.80%,3.30%,,100.00%,100.00%,51.80%,18.40%,0.80%,6.90%,0.70%,12.30%,11.00%,0.30%,0.20%,1.70%,7.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,37.20%,12.10%,14.50%,0.40%,25.70%,18.70%,0.40%,1.40%,22.60%,15.10%,0.50%,1.90%,16.20%,2.80%,,100.00%,92.60%,7.40%,5.70%,0.40%,0.10%,0.00%,0.40%,0.90%,,(X),(X),,100.00%,13.10%,86.90%,True,36.8,2.5,50.2,0.0,0.8,6.5,True
Census Tract 76.02; Hudson County; New Jersey!!Percent,100.00%,8.00%,3.90%,1.60%,0.90%,5.30%,20.90%,21.20%,14.30%,8.80%,4.40%,3.30%,2.80%,2.30%,0.90%,0.70%,0.20%,0.20%,0.10%,,86.20%,85.70%,85.40%,3.40%,2.20%,100.00%,8.20%,3.80%,1.10%,0.70%,5.20%,19.30%,21.20%,14.80%,9.30%,5.20%,3.30%,3.00%,2.60%,1.00%,0.80%,0.30%,0.30%,0.20%,,86.70%,86.20%,86.10%,3.60%,2.50%,100.00%,7.80%,4.10%,2.20%,1.10%,5.40%,22.70%,21.10%,13.90%,8.20%,3.60%,3.40%,2.70%,1.90%,0.90%,0.70%,0.10%,0.20%,0.00%,,85.60%,85.20%,84.60%,3.20%,2.00%,,(X),(X),(X),,100.00%,95.20%,31.40%,1.80%,0.10%,60.20%,0.00%,1.60%,4.80%,,105.20%,35.90%,2.70%,0.50%,61.70%,0.20%,4.30%,,100.00%,4.10%,95.90%,,100.00%,4.10%,0.90%,0.00%,0.00%,0.00%,0.00%,1.00%,2.10%,95.90%,30.50%,1.80%,0.10%,60.20%,0.00%,0.60%,2.70%,,100.00%,100.00%,50.30%,20.10%,0.60%,4.50%,0.40%,15.10%,13.70%,0.20%,0.20%,2.20%,6.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,41.10%,14.00%,9.80%,0.20%,29.10%,21.00%,0.70%,2.30%,19.90%,13.00%,0.30%,2.00%,18.90%,4.40%,,100.00%,93.70%,6.30%,5.10%,0.20%,0.00%,0.30%,0.10%,0.50%,,(X),(X),,100.00%,22.30%,77.70%,True,30.5,1.8,60.2,0.1,0.6,4.1,True
Census Tract 77.01; Hudson County; New Jersey!!Percent,100.00%,6.60%,3.10%,1.20%,0.90%,7.90%,26.30%,21.40%,12.60%,6.20%,3.60%,2.80%,2.30%,2.20%,1.30%,0.70%,0.30%,0.30%,0.10%,,88.70%,88.40%,87.90%,4.00%,2.80%,100.00%,6.90%,3.10%,1.40%,0.80%,6.20%,24.70%,22.90%,13.30%,7.60%,4.30%,2.70%,2.20%,1.90%,1.10%,0.50%,0.20%,0.20%,0.10%,,88.20%,88.00%,87.60%,3.20%,2.10%,100.00%,6.20%,3.20%,1.10%,1.00%,9.70%,28.00%,20.00%,12.00%,4.80%,2.90%,2.80%,2.40%,2.40%,1.50%,0.90%,0.50%,0.40%,0.20%,,89.20%,88.80%,88.20%,4.90%,3.50%,,(X),(X),(X),,100.00%,97.00%,15.70%,2.50%,0.10%,76.60%,0.00%,2.10%,3.00%,,103.30%,18.40%,3.00%,0.30%,77.80%,0.00%,3.80%,,100.00%,3.80%,96.20%,,100.00%,3.80%,0.80%,0.10%,0.00%,0.00%,0.00%,1.60%,1.30%,96.20%,14.90%,2.40%,0.10%,76.60%,0.00%,0.50%,1.70%,,100.00%,100.00%,47.40%,18.10%,0.30%,2.70%,0.20%,12.70%,11.10%,0.30%,0.20%,2.60%,15.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,39.00%,14.70%,5.70%,0.20%,27.80%,15.40%,0.80%,0.70%,27.40%,13.30%,1.20%,1.20%,17.70%,4.90%,,100.00%,93.30%,6.70%,5.50%,0.30%,0.20%,0.20%,0.20%,0.40%,,(X),(X),,100.00%,7.50%,92.50%,True,14.9,2.4,76.6,0.1,0.5,3.8,True
Census Tract 77.02; Hudson County; New Jersey!!Percent,100.00%,4.00%,0.90%,0.60%,0.80%,11.20%,39.30%,22.70%,10.40%,2.90%,1.20%,1.60%,1.80%,1.70%,0.20%,0.20%,0.30%,0.00%,0.10%,,94.30%,94.20%,93.30%,1.70%,0.90%,100.00%,3.30%,1.20%,1.00%,0.30%,10.40%,37.40%,22.00%,11.90%,3.90%,1.80%,1.80%,2.10%,2.40%,0.10%,0.10%,0.10%,0.00%,0.10%,,94.30%,94.20%,93.80%,1.80%,0.60%,100.00%,4.90%,0.50%,0.20%,1.30%,12.20%,41.30%,23.30%,8.80%,1.90%,0.60%,1.50%,1.50%,1.00%,0.30%,0.30%,0.50%,0.00%,0.00%,,94.20%,94.20%,92.70%,1.60%,1.10%,,(X),(X),(X),,100.00%,95.70%,19.60%,0.70%,0.20%,73.80%,0.20%,1.40%,4.30%,,104.70%,23.20%,1.70%,0.80%,75.00%,0.30%,3.60%,,100.00%,3.20%,96.80%,,100.00%,3.20%,0.70%,0.00%,0.20%,0.00%,0.00%,0.50%,1.80%,96.80%,18.90%,0.70%,0.00%,73.80%,0.20%,0.90%,2.50%,,100.00%,100.00%,52.00%,16.10%,0.50%,5.70%,0.20%,7.10%,5.60%,0.20%,0.20%,2.10%,16.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,31.40%,8.00%,11.20%,0.10%,31.70%,19.10%,0.40%,0.30%,25.70%,12.70%,0.60%,0.60%,9.60%,3.60%,,100.00%,79.90%,20.10%,14.10%,3.20%,0.00%,0.10%,0.60%,2.10%,,(X),(X),,100.00%,0.30%,99.70%,True,18.9,0.7,73.8,0.0,0.9,3.2,True
Census Tract 77.03; Hudson County; New Jersey!!Percent,100.00%,8.50%,3.60%,1.80%,0.90%,7.60%,22.00%,18.80%,13.00%,7.30%,5.30%,3.00%,2.90%,2.30%,1.30%,0.70%,0.40%,0.30%,0.10%,,85.80%,85.60%,84.80%,4.40%,2.90%,100.00%,8.40%,3.20%,2.00%,0.70%,6.90%,22.10%,19.00%,12.80%,8.10%,5.80%,3.00%,2.90%,2.20%,1.40%,0.60%,0.40%,0.40%,0.10%,,86.10%,85.90%,85.50%,4.10%,2.80%,100.00%,8.60%,4.00%,1.70%,1.10%,8.40%,21.80%,18.50%,13.30%,6.50%,4.80%,2.90%,3.00%,2.50%,1.30%,0.90%,0.40%,0.20%,0.10%,,85.50%,85.20%,84.10%,4.60%,3.00%,,(X),(X),(X),,100.00%,94.10%,27.00%,3.40%,0.10%,61.60%,0.00%,1.80%,5.90%,,106.60%,32.00%,4.90%,0.60%,63.20%,0.20%,5.80%,,100.00%,5.70%,94.30%,,100.00%,5.70%,1.30%,0.10%,0.00%,0.10%,0.00%,1.30%,2.90%,94.30%,25.70%,3.30%,0.10%,61.60%,0.00%,0.60%,3.00%,,100.00%,100.00%,46.50%,17.60%,0.80%,3.00%,0.20%,15.70%,13.90%,0.40%,0.30%,2.70%,13.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,39.90%,17.20%,6.80%,0.50%,27.40%,16.20%,0.70%,1.20%,25.90%,14.40%,0.90%,2.10%,21.50%,5.40%,,100.00%,83.90%,16.10%,5.10%,0.70%,8.90%,0.90%,0.00%,0.50%,,(X),(X),,100.00%,25.50%,74.50%,True,25.7,3.3,61.6,0.1,0.6,5.7,True
Census Tract 78; Hudson County; New Jersey!!Percent,100.00%,7.00%,2.90%,2.40%,2.20%,8.80%,26.60%,18.20%,8.20%,4.60%,3.50%,2.90%,3.10%,2.40%,1.80%,1.60%,1.10%,1.20%,1.20%,,87.30%,86.40%,85.20%,8.70%,7.00%,100.00%,6.70%,3.40%,2.10%,1.90%,7.50%,29.80%,18.60%,8.60%,5.10%,3.50%,2.80%,3.40%,2.10%,1.40%,0.90%,0.80%,0.60%,0.90%,,87.50%,86.70%,85.70%,6.00%,4.60%,100.00%,7.40%,2.40%,2.80%,2.50%,10.20%,23.30%,17.70%,7.80%,4.10%,3.60%,3.10%,2.90%,2.80%,2.30%,2.40%,1.50%,1.80%,1.50%,,87.00%,86.10%,84.60%,11.50%,9.50%,,(X),(X),(X),,100.00%,93.10%,47.50%,12.00%,0.30%,25.80%,0.10%,7.40%,6.90%,,107.50%,53.30%,13.90%,0.80%,26.60%,0.30%,12.50%,,100.00%,16.30%,83.70%,,100.00%,16.30%,3.80%,0.80%,0.20%,0.10%,0.00%,6.80%,4.60%,83.70%,43.60%,11.20%,0.10%,25.80%,0.10%,0.60%,2.30%,,100.00%,97.50%,47.40%,10.50%,0.70%,5.70%,0.00%,15.40%,11.80%,1.00%,0.80%,2.70%,14.00%,2.50%,0.00%,0.00%,0.00%,2.50%,1.80%,0.70%,,100.00%,23.40%,8.00%,12.50%,0.70%,29.10%,14.90%,1.90%,3.10%,35.00%,20.80%,6.70%,4.40%,17.10%,12.40%,,100.00%,92.30%,7.70%,6.00%,0.80%,0.00%,0.00%,0.00%,0.90%,,(X),(X),,100.00%,0.90%,99.10%,False,43.6,11.2,25.8,0.1,0.6,16.3,False
